date,min,max,mu,std
20191214,2.9,13.2,8.02917,2.90939
20191215,2.4,10.1,6.2875,1.94257
20191216,0.2,11.9,6.08333,4.03161
20191217,6.4,18,12.5208,3.57398
20191218,7.6,14.8,11.0667,2.22573
20191219,5.2,12.8,9.32917,2.66341
20191220,6.4,11.6,8.275,1.64196
20191221,6.1,10.1,8.54167,1.52231
20191222,6,10.8,8.35833,1.50608
20191223,7.1,12.4,8.90833,1.7851
20191224,3.6,7,5.92917,0.80181
20191225,0.5,14,7.93478,4.99205
20191226,7.4,10.2,9.1125,0.737288
20191227,4.8,11.3,8.2125,2.2129
20191228,2.6,7.7,5.24167,1.5116
20191229,1.4,12.1,7.17917,3.67911
20191230,6.9,15.1,10.1875,3.04717
20191231,2,14.7,7.425,4.67994
